"gdp_id";"country_id";"year";"gdp"
201;6;2018;3220000000.0
202;6;2019;3160000000.0
203;8;1975;14700000000.0
204;8;1976;19200000000.0
205;8;1977;24900000000.0
206;8;1978;23800000000.0
207;8;1979;31200000000.0
208;8;1980;43600000000.0
209;8;1981;49300000000.0
210;8;1982;46600000000.0
211;8;1983;42800000000.0
212;8;1984;41800000000.0
213;8;1985;40600000000.0
214;8;1986;33900000000.0
215;8;1987;36400000000.0
216;8;1988;36300000000.0
217;8;1989;41500000000.0
218;8;1990;50700000000.0
219;8;1991;51600000000.0
220;8;1992;54200000000.0
221;8;1993;55600000000.0
222;8;1994;59300000000.0
223;8;1995;65700000000.0
224;8;1996;73600000000.0
225;8;1997;78800000000.0
226;8;1998;75700000000.0
227;8;1999;84400000000.0
228;8;2000;104000000000.0
229;8;2001;103000000000.0
230;8;2002;110000000000.0
231;8;2003;124000000000.0
232;8;2004;148000000000.0
233;8;2005;181000000000.0
234;8;2006;222000000000.0
235;8;2007;258000000000.0
236;8;2008;315000000000.0
237;8;2009;254000000000.0
238;8;2010;290000000000.0
239;8;2011;351000000000.0
240;8;2012;375000000000.0
241;8;2013;390000000000.0
242;8;2014;403000000000.0
243;8;2015;358000000000.0
244;8;2016;357000000000.0
245;8;2017;386000000000.0
246;8;2018;422000000000.0
247;8;2019;417000000000.0
248;8;2020;359000000000.0
249;9;1962;24500000000.0
250;9;1963;18300000000.0
251;9;1964;25600000000.0
252;9;1965;28300000000.0
253;9;1966;28600000000.0
254;9;1967;24300000000.0
255;9;1968;26400000000.0
256;9;1969;31300000000.0
257;9;1970;31600000000.0
258;9;1971;33300000000.0
259;9;1972;34700000000.0
260;9;1973;52500000000.0
261;9;1974;72400000000.0
262;9;1975;52400000000.0
263;9;1976;51200000000.0
264;9;1977;56800000000.0
265;9;1978;58100000000.0
266;9;1979;69300000000.0
267;9;1980;77000000000.0
268;9;1981;78700000000.0
269;9;1982;84300000000.0
270;9;1983;104000000000.0
271;9;1984;79100000000.0
272;9;1985;88400000000.0
273;9;1986;111000000000.0
274;9;1987;111000000000.0
275;9;1988;126000000000.0
276;9;1989;76600000000.0
277;9;1990;141000000000.0
278;9;1991;190000000000.0
279;9;1992;229000000000.0
280;9;1993;237000000000.0
281;9;1994;257000000000.0
282;9;1995;258000000000.0
283;9;1996;272000000000.0
284;9;1997;293000000000.0
285;9;1998;299000000000.0
286;9;1999;284000000000.0
287;9;2000;284000000000.0
288;9;2001;269000000000.0
289;9;2002;97700000000.0
290;9;2003;128000000000.0
291;9;2004;165000000000.0
292;9;2005;199000000000.0
293;9;2006;233000000000.0
294;9;2007;288000000000.0
295;9;2008;362000000000.0
296;9;2009;333000000000.0
297;9;2010;424000000000.0
298;9;2011;530000000000.0
299;9;2012;546000000000.0
300;9;2013;552000000000.0
301;9;2014;526000000000.0
302;9;2015;595000000000.0
303;9;2016;558000000000.0
304;9;2017;644000000000.0
305;9;2018;525000000000.0
306;9;2019;452000000000.0
307;9;2020;389000000000.0
308;10;1990;2260000000.0
309;10;1991;2070000000.0
310;10;1992;1270000000.0
311;10;1993;1200000000.0
312;10;1994;1320000000.0
313;10;1995;1470000000.0
314;10;1996;1600000000.0
315;10;1997;1640000000.0
316;10;1998;1890000000.0
317;10;1999;1850000000.0
318;10;2000;1910000000.0
319;10;2001;2120000000.0
320;10;2002;2380000000.0
321;10;2003;2810000000.0
322;10;2004;3580000000.0
323;10;2005;4900000000.0
324;10;2006;6380000000.0
325;10;2007;9210000000.0
326;10;2008;11700000000.0
327;10;2009;8650000000.0
328;10;2010;9260000000.0
329;10;2011;10100000000.0
330;10;2012;10600000000.0
331;10;2013;11100000000.0
332;10;2014;11600000000.0
333;10;2015;10600000000.0
334;10;2016;10500000000.0
335;10;2017;11500000000.0
336;10;2018;12500000000.0
337;10;2019;13600000000.0
338;10;2020;12600000000.0
339;11;2002;512000000.0
340;11;2003;524000000.0
341;11;2004;509000000.0
342;11;2005;500000000.0
343;11;2006;493000000.0
344;11;2007;518000000.0
345;11;2008;560000000.0
346;11;2009;675000000.0
347;11;2010;573000000.0
348;11;2011;570000000.0
349;11;2012;640000000.0
350;11;2013;638000000.0
351;11;2014;643000000.0
352;11;2015;673000000.0
353;11;2016;671000000.0
354;11;2017;612000000.0
355;11;2018;639000000.0
356;11;2019;648000000.0
357;11;2020;709000000.0
358;14;1977;77500000.0
359;14;1978;87900000.0
360;14;1979;109000000.0
361;14;1980;131000000.0
362;14;1981;148000000.0
363;14;1982;164000000.0
364;14;1983;182000000.0
365;14;1984;208000000.0
366;14;1985;241000000.0
367;14;1986;290000000.0
368;14;1987;337000000.0
369;14;1988;399000000.0
370;14;1989;439000000.0
371;14;1990;459000000.0
372;14;1991;482000000.0
373;14;1992;499000000.0
374;14;1993;535000000.0
375;14;1994;589000000.0
376;14;1995;577000000.0
377;14;1996;634000000.0
378;14;1997;681000000.0
379;14;1998;728000000.0
380;14;1999;766000000.0
381;14;2000;826000000.0
382;14;2001;800000000.0
383;14;2002;814000000.0
384;14;2003;856000000.0
385;14;2004;920000000.0
386;14;2005;1020000000.0
387;14;2006;1160000000.0
388;14;2007;1310000000.0
389;14;2008;1370000000.0
390;14;2009;1230000000.0
391;14;2010;1150000000.0
392;14;2011;1140000000.0
393;14;2012;1200000000.0
394;14;2013;1180000000.0
395;14;2014;1250000000.0
396;14;2015;1340000000.0
397;14;2016;1440000000.0
398;14;2017;1470000000.0
399;14;2018;1610000000.0
400;14;2019;1690000000.0
401;14;2020;1370000000.0
402;15;1960;18600000000.0
403;15;1961;19700000000.0
404;15;1962;19900000000.0
405;15;1963;21500000000.0
406;15;1964;23800000000.0
407;15;1965;26000000000.0
408;15;1966;27300000000.0
409;15;1967;30400000000.0
410;15;1968;32700000000.0
411;15;1969;36700000000.0
412;15;1970;41300000000.0
413;15;1971;45200000000.0
414;15;1972;52100000000.0
415;15;1973;63800000000.0
416;15;1974;89000000000.0
417;15;1975;97300000000.0
418;15;1976;105000000000.0
419;15;1977;110000000000.0
420;15;1978;119000000000.0
421;15;1979;135000000000.0
422;15;1980;150000000000.0
423;15;1981;177000000000.0
424;15;1982;194000000000.0
425;15;1983;177000000000.0
426;15;1984;194000000000.0
427;15;1985;181000000000.0
428;15;1986;182000000000.0
429;15;1987;189000000000.0
430;15;1988;236000000000.0
431;15;1989;300000000000.0
432;15;1990;311000000000.0
433;15;1991;326000000000.0
434;15;1992;325000000000.0
435;15;1993;312000000000.0
436;15;1994;323000000000.0
437;15;1995;368000000000.0
438;15;1996;401000000000.0
439;15;1997;435000000000.0
440;15;1998;399000000000.0
441;15;1999;389000000000.0
442;15;2000;416000000000.0
443;15;2001;379000000000.0
444;15;2002;395000000000.0
445;15;2003;467000000000.0
446;15;2004;614000000000.0
447;15;2005;695000000000.0
448;15;2006;748000000000.0
449;15;2007;854000000000.0
450;15;2008;1060000000000.0
451;15;2009;928000000000.0
452;15;2010;1150000000000.0
453;15;2011;1400000000000.0
454;15;2012;1550000000000.0
455;15;2013;1580000000000.0
456;15;2014;1470000000000.0
457;15;2015;1350000000000.0
458;15;2016;1210000000000.0
459;15;2017;1330000000000.0
460;15;2018;1430000000000.0
461;15;2019;1390000000000.0
462;15;2020;1330000000000.0
463;16;1960;6590000000.0
464;16;1961;7310000000.0
465;16;1962;7760000000.0
466;16;1963;8370000000.0
467;16;1964;9170000000.0
468;16;1965;9990000000.0
469;16;1966;10900000000.0
470;16;1967;11600000000.0
471;16;1968;12400000000.0
472;16;1969;13600000000.0
473;16;1970;15400000000.0
474;16;1971;17900000000.0
475;16;1972;22100000000.0
476;16;1973;29500000000.0
477;16;1974;35200000000.0
478;16;1975;40100000000.0
479;16;1976;43000000000.0
480;16;1977;51500000000.0
481;16;1978;62100000000.0
482;16;1979;73900000000.0
483;16;1980;82100000000.0
484;16;1981;71000000000.0
485;16;1982;71300000000.0
486;16;1983;72100000000.0
487;16;1984;68000000000.0
488;16;1985;69400000000.0
489;16;1986;99000000000.0
490;16;1987;124000000000.0
491;16;1988;133000000000.0
492;16;1989;133000000000.0
493;16;1990;166000000000.0
494;16;1991;174000000000.0
495;16;1992;195000000000.0
496;16;1993;190000000000.0
497;16;1994;204000000000.0
498;16;1995;241000000000.0
499;16;1996;237000000000.0
500;16;1997;213000000000.0
501;16;1998;218000000000.0
502;16;1999;217000000000.0
503;16;2000;197000000000.0
504;16;2001;198000000000.0
505;16;2002;214000000000.0
506;16;2003;262000000000.0
507;16;2004;301000000000.0
508;16;2005;316000000000.0
509;16;2006;336000000000.0
510;16;2007;389000000000.0
511;16;2008;432000000000.0
512;16;2009;402000000000.0
513;16;2010;392000000000.0
514;16;2011;432000000000.0
515;16;2012;409000000000.0
516;16;2013;430000000000.0
517;16;2014;443000000000.0
518;16;2015;382000000000.0
519;16;2016;396000000000.0
520;16;2017;417000000000.0
521;16;2018;455000000000.0
522;16;2019;445000000000.0
523;16;2020;433000000000.0
524;17;1992;446000000.0
525;17;1993;1570000000.0
526;17;1994;1190000000.0
527;17;1995;2420000000.0
528;17;1996;3180000000.0
529;17;1997;3960000000.0
530;17;1998;4450000000.0
531;17;1999;4580000000.0
